id_,age,job,marital,education,payment_default,housing_loan,personal_loan,contact,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,deposit_subscribed,date,latitude,longitude,Income,Kidhome,Teenhome,Dt_Customer,NumWebVisitsMonth,income_level
089b39d8-e4d0-461b-87d4-814d71e0e079,38.0,housemaid,MARRIED,basic.4y,No,No,No,telephone,261,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,2-agosto-2019,41.495,-71.233,161770,1,0,2012-04-04,29,Alto
e9d37224-cb6f-4942-98d7-46672963d097,57.0,services,MARRIED,high.school,Unknown,No,No,telephone,149,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,14-septiembre-2016,34.601,-83.923,85477,1,1,2012-12-30,7,Medio-bajo
3f9f49b5-e410-4948-bf6e-f9244f04918b,37.0,services,MARRIED,high.school,No,Yes,No,telephone,226,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,15-febrero-2019,34.939,-94.847,147233,1,1,2012-02-02,5,Alto
9991fafb-4447-451a-8be2-b0df6098d13e,40.0,admin.,MARRIED,basic.6y,No,No,No,telephone,151,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,29-noviembre-2015,49.041,-70.308,121393,1,2,2012-12-21,29,Medio-alto
eca60b76-70b6-4077-80ba-bc52e8ebb0eb,56.0,services,MARRIED,high.school,No,No,Yes,telephone,307,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,29-enero-2017,38.033,-104.463,63164,1,2,2012-06-20,20,Medio-bajo
d63ede72-0b6d-45b1-8872-385ac6897f65,45.0,services,MARRIED,basic.9y,Unknown,No,No,telephone,198,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,26-septiembre-2015,24.689,-101.643,143854,0,1,2012-01-24,26,Alto
5e3483e5-236d-437d-8351-541f9d09b9dd,59.0,admin.,MARRIED,professional.course,No,No,No,telephone,139,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,25-enero-2019,31.456,-94.561,76439,1,0,2012-08-15,3,Medio-bajo
87fdc08b-30ae-4dab-803f-561ecdf27ff0,38.0,blue-collar,MARRIED,Unknown,Unknown,No,No,telephone,217,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,25-septiembre-2017,46.871,-122.235,159686,1,1,2012-12-10,21,Alto
87b79988-2be5-419d-88f4-56655852c565,24.0,technician,SINGLE,professional.course,No,Yes,No,telephone,380,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,18-enero-2018,44.632,-85.811,179933,0,0,2012-08-22,18,Alto
ea6b7d04-9271-4c0a-a01f-07795d164aba,25.0,services,SINGLE,high.school,No,Yes,No,telephone,50,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,2-noviembre-2016,30.297,-117.382,77504,1,0,2012-02-09,18,Medio-bajo
8d700df5-0c33-4517-8cf8-92e1c92c9c12,41.0,blue-collar,MARRIED,Unknown,Unknown,No,No,telephone,55,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,30-noviembre-2015,43.616,-90.902,92882,1,1,2012-01-05,9,Medio-bajo
ca5c0d7a-8bbd-42b3-8351-1074c5be011a,25.0,services,SINGLE,high.school,No,Yes,No,telephone,222,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,17-abril-2016,49.118,-85.121,84813,0,1,2012-06-06,30,Medio-bajo
66a752e2-b2f1-440c-9a8f-cc3b10d74dd0,29.0,blue-collar,SINGLE,high.school,No,No,Yes,telephone,137,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,14-junio-2016,30.047,-112.472,102006,0,1,2012-03-24,18,Medio-alto
54b1ea8a-a909-45d9-9562-775b64ac9c29,57.0,housemaid,DIVORCED,basic.4y,No,Yes,No,telephone,293,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,25-agosto-2015,28.873,-70.852,140801,2,1,2012-02-11,32,Alto
3a7b7570-aba9-40bc-9f80-3433d064b5b7,35.0,blue-collar,MARRIED,basic.6y,No,Yes,No,telephone,146,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,19-septiembre-2016,36.188,-109.835,73262,2,2,2012-09-10,27,Medio-bajo
c93f0774-c122-421b-ac44-2041dcc43609,54.0,retired,MARRIED,basic.9y,Unknown,Yes,Yes,telephone,174,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,3-enero-2016,41.311,-75.496,117422,1,2,2012-04-05,15,Medio-alto
8f63b4b2-6190-4fbe-a041-b0c472c596c7,35.0,blue-collar,MARRIED,basic.6y,No,Yes,No,telephone,312,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,28-febrero-2018,39.867,-91.016,70235,1,1,2012-03-11,27,Medio-bajo
714f78d0-c23e-40ff-b892-bfeacc4223f8,38.0,blue-collar,MARRIED,basic.6y,Unknown,Yes,Yes,telephone,440,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,29-marzo-2019,31.284,-76.228,106688,1,1,2012-01-22,5,Medio-alto
4b568fd1-8690-48a4-a1e5-7497bb533047,50.0,blue-collar,MARRIED,basic.9y,No,Yes,Yes,telephone,353,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,25-octubre-2018,39.231,-100.643,99745,2,2,2012-12-11,20,Medio-alto
74bf1569-4bdb-49e4-98ba-c1c607d90596,39.0,management,SINGLE,basic.9y,Unknown,No,No,telephone,195,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,1-julio-2017,27.284,-69.955,173275,2,0,2012-04-17,26,Alto
e9170af6-b4f8-4700-b954-836f94372fd8,30.0,unemployed,MARRIED,high.school,No,No,No,telephone,38,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,20-abril-2017,43.783,-70.925,32331,1,2,2012-02-27,28,Bajo
47591c83-e88b-40c2-bb8e-de40b94a44cb,55.0,blue-collar,MARRIED,basic.4y,Unknown,Yes,No,telephone,262,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,11-agosto-2016,25.892,-92.643,158116,0,2,2012-10-08,21,Alto
1c85ef8a-60a1-424d-804c-f712ccd612cc,55.0,retired,SINGLE,high.school,No,Yes,No,telephone,342,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,24-diciembre-2019,35.978,-122.628,38474,0,0,2012-03-20,2,Bajo
f480284a-908b-4575-9ce5-28b396d54e36,38.0,technician,SINGLE,high.school,No,Yes,No,telephone,181,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,10-junio-2015,37.337,-90.915,179682,2,0,2012-09-26,17,Alto
2a14bcd3-a981-45c2-ac76-79323567627c,37.0,admin.,MARRIED,high.school,No,Yes,No,telephone,172,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,19-mayo-2017,39.448,-92.851,49728,1,2,2012-02-07,12,Medio-bajo
c298253f-fcd6-45cb-a6b0-9815ec3e7c13,35.0,technician,MARRIED,university.degree,No,No,Yes,telephone,99,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,19-marzo-2018,46.594,-78.17,176324,1,0,2012-04-04,1,Alto
cbf9c247-762f-40f9-a351-a7e686ac7488,38.0,technician,MARRIED,Unknown,No,Yes,No,telephone,93,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,25-septiembre-2016,44.446,-74.218,104766,0,2,2012-12-19,32,Medio-alto
b4861606-8206-4f41-acd5-63b48d5596a1,39.0,self-employed,MARRIED,basic.9y,Unknown,No,No,telephone,233,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,23-noviembre-2016,43.028,-96.627,118851,0,2,2012-02-08,30,Medio-alto
f52b8aff-2bab-496e-9b18-95925894c0ed,54.0,technician,SINGLE,university.degree,Unknown,No,No,telephone,255,2,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,5-diciembre-2016,30.242,-67.276,54609,1,1,2012-01-08,25,Medio-bajo
943bc97d-2618-4ba3-b2dc-5a3d1571446a,55.0,admin.,MARRIED,university.degree,Unknown,Yes,No,telephone,362,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,1-julio-2015,47.472,-87.614,75488,1,1,2012-08-30,26,Medio-bajo
61bec99d-c1d2-4231-aa6a-37a002c9af42,46.0,admin.,MARRIED,Unknown,No,No,No,telephone,348,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,20-diciembre-2019,46.952,-97.482,172888,1,2,2012-11-01,10,Alto
9eaba08c-51a8-477f-93b6-ad65fb0b6f03,59.0,technician,MARRIED,Unknown,No,Yes,No,telephone,386,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,14-abril-2019,27.676,-74.451,90838,1,0,2012-05-10,7,Medio-bajo
69cb4917-d4e6-456f-a840-c5c411bac44c,49.0,blue-collar,MARRIED,Unknown,No,No,No,telephone,73,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,4-enero-2019,49.316,-91.441,20361,2,0,2012-11-14,32,Bajo
a028192c-3c95-4935-aa95-06515e5fd38d,54.0,management,MARRIED,basic.4y,Unknown,Yes,No,telephone,230,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,5-octubre-2019,48.792,-87.676,128876,0,2,2012-10-06,1,Medio-alto
ebf703d5-d980-47bc-a8eb-6de16260483f,38.0,blue-collar,DIVORCED,basic.4y,No,No,No,telephone,208,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,18-diciembre-2019,47.015,-88.913,121937,2,2,2012-10-29,21,Medio-alto
7aeeda6f-95df-402b-a8d8-817764f4dafe,55.0,admin.,MARRIED,basic.4y,Unknown,Yes,No,telephone,336,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,11-febrero-2018,49.107,-116.582,73868,1,1,2012-02-29,14,Medio-bajo
7c50f0e5-8fb1-41f3-a18a-20bd5fc9a3d9,34.0,services,MARRIED,high.school,No,No,No,telephone,365,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,17-octubre-2019,46.714,-103.715,83851,1,1,2012-10-18,12,Medio-bajo
a7eb98b2-0163-4375-a6a5-40b5f2ce6428,52.0,technician,MARRIED,basic.9y,No,Yes,No,telephone,1666,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,11-diciembre-2015,29.214,-87.396,71669,2,2,2012-04-16,26,Medio-bajo
a9280a68-5b1e-448c-98c9-271eba3e4a30,41.0,admin.,MARRIED,university.degree,No,Yes,No,telephone,577,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,26-abril-2019,24.874,-107.27,50412,0,0,2012-05-05,2,Medio-bajo
b1d3e69b-43f5-4983-ba00-37dcc3979e84,56.0,technician,MARRIED,basic.4y,No,Yes,No,telephone,137,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,23-abril-2017,36.539,-70.595,35940,1,0,2012-11-15,15,Bajo
e03dc123-10b3-42f2-9d18-c26a53c7a473,58.0,management,MARRIED,university.degree,No,Yes,No,telephone,366,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,15-septiembre-2015,25.841,-83.067,131696,2,0,2012-12-23,3,Medio-alto
41f0832d-fea4-47dc-81c3-ad5a528a2fb7,32.0,entrepreneur,MARRIED,high.school,No,Yes,No,telephone,314,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,29-diciembre-2018,33.876,-117.423,55182,2,0,2012-11-20,7,Medio-bajo
dd9279a9-2d85-4f87-b87b-560f5224d46a,38.0,admin.,SINGLE,professional.course,No,No,No,telephone,160,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,12-marzo-2015,45.8,-93.786,170859,2,2,2012-04-11,28,Alto
45576313-a078-48e8-803c-b5fec072ee53,38.0,admin.,MARRIED,university.degree,No,No,Yes,telephone,212,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,6-junio-2019,24.925,-92.686,65477,0,0,2012-09-10,24,Medio-bajo
f2e69637-04fb-4d2d-813e-b15e061776e9,44.0,admin.,MARRIED,university.degree,Unknown,Yes,No,telephone,188,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,5-enero-2015,37.511,-94.109,122815,2,1,2012-05-14,28,Medio-alto
01d47e8f-32e7-4fd8-8188-2761a09f42bb,42.0,technician,SINGLE,professional.course,Unknown,No,No,telephone,22,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,8-enero-2017,42.145,-108.433,52087,0,2,2012-03-09,13,Medio-bajo
170ae51e-abde-4832-a157-f1bf0f630e83,57.0,admin.,MARRIED,university.degree,No,Yes,Yes,telephone,616,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,15-octubre-2016,33.318,-77.7,136434,1,1,2012-07-03,3,Medio-alto
6beb1eea-2343-42c1-9881-378c64cf08e5,40.0,blue-collar,MARRIED,basic.9y,No,No,Yes,telephone,178,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,15-agosto-2017,36.269,-117.853,48855,2,1,2012-08-21,11,Bajo
6155f7ed-fc77-4de5-8f66-386c9a85d74a,35.0,admin.,MARRIED,university.degree,No,Yes,No,telephone,355,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,19-diciembre-2015,27.521,-88.316,14091,1,2,2012-03-23,15,Bajo
652ef647-2ee2-4afd-8cd1-105ff08b9dfb,45.0,blue-collar,MARRIED,basic.9y,No,Yes,No,telephone,225,2,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,15-mayo-2018,47.71,-91.255,49376,1,2,2012-11-21,18,Bajo
89d515a3-7191-4a7c-b166-692bd3eb0e2e,54.0,admin.,MARRIED,high.school,No,No,No,telephone,160,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,23-mayo-2019,25.729,-90.585,141524,1,2,2012-01-10,32,Alto
d43355a7-b518-46f4-8713-b9daba3e586f,39.0,housemaid,MARRIED,basic.4y,No,No,Yes,telephone,266,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,2-octubre-2015,24.802,-71.158,139751,0,2,2012-06-23,15,Alto
b575bf38-fde5-4980-a253-e5d2a7c6622d,60.0,admin.,MARRIED,high.school,No,No,No,telephone,253,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,20-julio-2019,24.541,-83.412,175358,2,1,2012-07-27,8,Alto
fc488ebf-de25-4108-a5e0-881010bcb6db,38.0,admin.,SINGLE,professional.course,No,No,No,telephone,179,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,22-octubre-2016,44.802,-106.795,43378,1,0,2012-01-13,14,Bajo
a53d19c6-cc04-4e56-936c-2af714cb0691,55.0,blue-collar,MARRIED,basic.4y,Unknown,No,No,telephone,269,2,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,24-julio-2016,33.009,-115.68,171806,2,1,2012-04-01,26,Alto
b49bf23e-16c4-4e10-8bad-cff8277af141,38.0,technician,MARRIED,professional.course,Unknown,Yes,No,telephone,135,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,4-febrero-2017,34.004,-99.004,82735,2,1,2012-09-15,5,Medio-bajo
3cd59535-e982-46ec-8bdb-5540b42f98c7,50.0,management,MARRIED,university.degree,Unknown,No,Yes,telephone,161,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,3-diciembre-2018,45.639,-90.524,21488,1,2,2012-07-13,29,Bajo
b9e57bd9-32b6-48db-be0b-399968bb4458,45.0,services,MARRIED,high.school,Unknown,Yes,No,telephone,787,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,16-noviembre-2018,44.358,-88.987,165897,1,2,2012-11-28,3,Alto
c70bda4e-ab87-48ad-a248-c654a465ba18,55.0,unemployed,MARRIED,professional.course,Unknown,Yes,Yes,telephone,145,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,8-agosto-2018,32.791,-93.839,20845,2,2,2012-09-27,1,Bajo
df2754f0-ab9d-4392-969f-255be30bcf95,25.0,technician,SINGLE,university.degree,No,Yes,No,telephone,174,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,22-noviembre-2018,25.291,-113.185,42782,0,1,2012-05-14,15,Bajo
4c4427bf-a4b4-4127-a461-a0db67bb5508,38.0,entrepreneur,MARRIED,university.degree,Unknown,No,No,telephone,449,1,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,no,13-enero-2016,24.665,-117.482,140136,2,2,2012-07-18,14,Alto
